gl,pt,es,la
cova,cova,cueva,covus
bazo,baço,bazo,badius
Cartaxena,Cartagena,Cartagena,Carthago
fel,bile,bilis,fel
bile,bile,bilis,bilis
exhausto,exausto,exhausto,exhaustus
milenio,milénio,milenio,mille
milenario,milenário,milenario,millenarius
milla,milha,milla,milia
militar,militar,militar,militaris
sufumigar,sufumigar,sufumigar,suffumigare
sinuoso,sinuoso,sinuoso,sinuosus
acídulo,acídulo,acídulo,acidulus
tusir,tossir,toser,tussio
urdir,urdir,urdir,ordiri
sacudir,sacudir,sacudir,succutere
pulir,polir,pulir,polire
engulir,engolir,engullir,gula
retribuír,retribuir,retribuir,retribuere
restituír,restituir,restituir,restituere
intuír,intuir,intuir,intueor
inmiscuír,imiscuir,inmiscuir,immiscere
distribuír,distribuir,distribuir,distribuere
argüír,deduzir,argüir,arguere
roer,roer,roer,rodo
persistente,persistente,persistente,persistens
saudar,saudar,saludar,salutare
xaxuar,jejuar,ayunar,ieiunare
xaxún,jejum,ayuno,ieiunium
suar,suar,sudar,sudare
rectriz,rectriz,rectriz,rectrice
puntuar,pontuar,puntuar,punctu
bisneto,bisneto,bisnieto,bis
placenta,placenta,placenta,placenta
perfecto,perfeito,perfecto,perfectus
cirurxía,cirurgia,cirugía,chirurgia
exvoto,,exvoto,ex
harpía,harpia,arpía,Harpyia
Provenza,Provença,Provenza,provincia
malicioso,malicioso,malicioso,malitiosus
valetudinario,valetudinário,valetudinario,valetudinarius
florentino,florentino,florentino,florentinus
satisfacer,satisfazer,satisfacer,satisfacere
abster,,abstener,abstinere
tractor,trator,tractor,tractus
sobriño,sobrinho,sobrino,sobrinus
tesela,tessela,tesela,tessella
intervir,intervir,intervenir,intervenire
praga,praga,plaga,plaga
longobardo,longobardo,longobardo,longobardus
dificultar,dificultar,dificultar,difficultare
subverter,subverter,subvertir,subvertere
expulsar,expulsar,expulsar,expulsare
expeler,expelir,expeler,expellere
soto,cave,sótano,subtus
subversión,subversão,subversión,subversione
escrutar,escrutar,escrutar,scrutare
escrutinio,escrutínio,escrutinio,scrutinium
Nínive,Nínive,Nínive,Nineve
Asiria,Assíria,Asiria,Assyria
estrinxir,obstipar,estreñir,stringere
refutar,refutar,refutar,refutare
convincente,convincente,convincente,
elexía,elegia,elegía,elegia
ecuatorial,equatorial,ecuatorial,aequatore
unxir,ungir,ungir,ungo
cesar,cessar,cesar,cessare
cesión,cessão,cesión,cessione
dimitir,demitir,dimitir,dimittere
dimisión,demissão,dimisión,dimissione
destituír,destituir,destituir,destituere
declinar,declinar,declinar,declinare
agrimensura,agrimensura,agrimensura,ager
sambesuga,sanguessuga,sanguijuela,sanguisūga
brinco,brinco,pendiente,vinculum
libélula,libélula,libélula,lībellula
inmortal,imortal,inmortal,immortale
comedir,comedir,comedir,commetiri
lucente,luzente,luciente,lucente
sucio,sujo,sucio,
filo,filo,filo,phylum
seda,seda,seda,sēta
extemporáneo,extemporâneo,extemporáneo,extemporaneus
abundar,abundar,abundar,abundo
tea,pano,tela,tēla
símbolo,símbolo,símbolo,symbŏlus
tecido,,,textus
horizonte,horizonte,horizonte,horizōn
prefixo,prefixo,,praefixu
experiencia,experiência,experiencia,experientia
inexperiencia,inexperiência,inexperiencia,inexperientia
prexuízo,prejuízo,perjuicio,praeiudicium
populoso,populoso,populoso,populosus
elisio,elísio,elíseo,Elysium
glacioloxía,glaciologia,glaciología,glacie
silvicultura,silvicultura,silvicultura,silva
nébeda,néfeta,calaminta,nepeta
calaminta,néfeta,calaminta,calamintha
demandar,demandar,demandar,demandare
cadencia,cadência,cadencia,cadentia
pretor,pretor,pretor,praetor
presbiterio,presbitério,presbiterio,presbyterium
inventario,inventário,inventario,inventarium
santo,santo,santo,sanctus
clave,chave,clave,clavis
voluta,voluta,voluta,voluta
románico,românico,románico,romanicus
arte románica,,,romanicus
arte gótica,,,gothicus
muro,muro,muro,murus
éntase,êntase,éntasis,entăsis
circo romano,,,circus
anfiteatro,anfiteatro,anfiteatro,
supérstite,superstite,superstite,superstite
quimera,quimera,quimera,chimaera
pantocrátor,pantocrator,pantocrator,pantocrător
reivindicar,reivindicar,reivindicar,re
miopía,miopia,miopía,myopia
bacanal,bacanal,bacanal,bacchānal
supersticioso,supersticioso,supersticioso,superstitiosus
eloxiar,elogiar,elogiar,elogiare
eloxio,elogio,elogio,elogium
apelidar,apelidar,apellidar,appellitare
terxiversar,tergiversar,tergiversar,tergiversare
xacinto,jacinto,jacinto,hyacinthus
conversión,conversão,conversión,conversione
converter,converter,convertir,convertere
boga,boga,boga,boca
esmiuzar,esmiuçar,desmenuzar,minutia
ápido,apídeo,ápido,apis
ápidos,apídeos,ápidos,apis
piperáceas,piperáceas,piperáceas,piper
vivente,vivente,viviente,vivente
búfalo,búfalo,búfalo,bufalus
búfalo africano,,,bufalus
búfalo cafre,,,bufalus
búfalo anano de Mindoro,,tamarao,bufalus
descodificar,descodificar,descodificar,codice
búfalo asiático,,arni,bufalus
búfalo acuático,,arni,bufalus
búfalo indio,,arni,bufalus
búfalo da India,,arni,bufalus
búfalo vermello,pacaça,,bufalus
búfalo anano,pacaça,,bufalus
búfalo do Cabo,,,bufalus
búfalo negro,,,bufalus
desconxuntar,desconjuntar,descoyuntar,coniunctare
luxar,desconjuntar,descoyuntar,luxare
dislocar,desconjuntar,descoyuntar,locare
componenda,componenda,componenda,componenda
consumir,consumir,consumir,consumere
esixir,exigir,exigir,exigere
novena,novena,novena,novena
esforzar,esforçar,esforzar,fortis
forzar,forçar,forzar,fortia
cognominar,cognominar,cognominar,cognominare
Estrabón,Estrabão,Estrabón,Strabo
inmersión,imersão,inmersión,immersio
conxectural,conjectural,conjetural,coniecturale
conxectura,conjectura,conjetura,coniectura
restrinxente,restringente,restringente,restringente
insincero,insincero,insincero,insincerus
tórax,,tórax,thorax
tisana,tisana,tisana,tisāna
celiaquía,,,coeliăcus
retablo,retábulo,retablo,retaulus
enfermidade celíaca,,,coeliăcus
vivencia,vivência,vivencia,viventia
elución,eluição,elución,elutione
víbora común,,,vipera
víbora,víbora,víbora,vipera
Xuno,Juno,Juno,Iuno
lixa,lixa,lija,lija
incrustar,incrustar,incrustar,incrustare
desincrustar,desincrustar,desincrustar,incrustare
manuscrito,manuscrito,manuscrito,manu
pintura,pintura,pintura,pinctūra
traumático,traumático,traumático,traumaticus
vituperio,vitupério,vituperio,vituperiu
viúvo,viúvo,viudo,viduus
síntoma,sintoma,síntoma,symptōma
veterinaria,veterinária,veterinaria,veterinarius
mosaico,mosaico,mosaico,mosaicum
arcosolio,arcossólio,arcosolio,arcosolium
muralla,muralha,muralla,muralia
exorcismo,exorcismo,exorcismo,exorcismus
códice,códice,códice,codex
odre,odre,odre,uter
pulsímetro,pulsímetro,pulsímetro,pulsus
albumina,albumina,albúmina,albumen
intolerancia,intolerância,intolerancia,intolerantia
tolerante,tolerante,tolerante,tolerans
indulto,indulto,indulto,indultus
tolerancia,tolerância,tolerancia,tolerantia
intolerante,intolerante,intolerante,intolerans
fisión,fissão,fisión,fissio
biface,biface,bifaz,bifax
compost,composto,compost,composĭtus
sésil,séssil,sésil,sessilis
Campania,Campânia,Campania,Campania
hemorraxia,hemorragia,hemorragia,haemorragĭa
lesión,lesão,lesión,laesio
eutanasia,eutanásia,eutanasia,euthanasia
arcanxo,arcanjo,arcángel,archangĕlus
querubín,querubim,querubín,Cherŭbim
serafín,serafim,serafín,serăphim
eufemismo,eufemismo,eufemismo,euphemismus
propileo,propileu,propileo,propylaeum
torque,torques,torques,torques
crismón,,crismón,chrismon
lábaro,lábaro,lábaro,labărum
arcebispo,arcebispo,arzobispo,archiepiscŏpus
estramonio,,estramonio,stramonium
depresión,depressão,depresión,depressio
augural,augural,augural,auguralis
pretorio,pretório,pretorio,praetorium
pretorianismo,pretorianismo,pretorianismo,praetor
meda,meda,hacina,meta
medeiro,meda,hacina,meta
